Injury_Next_Season,Agility_Score,Balance_Test_Score,Fitness_Score,Hamstring_Flexibility,Knee_Strength_Score,Low_Fitness,Nutrition_Quality_Score,Previous_Injury_Count,Reaction_Time_ms,Sleep_Hours_Per_Night,Sprint_Speed_10m_s,Stress_Level_Score,Stress_Sleep_Ratio,Warmup_Routine_Adherence,Wellness_Score
0,-0.08764939707570796,1.069296629518418,0.4919962644371729,-0.0052359397674553105,0.3792594067842843,0,0.760997486050407,-0.41181602664020217,1.5602052792847088,1.037465181551532,-0.22788147444888884,-0.6504276137163126,-0.8994407500094425,1,1.1279306902298862
0,1.843613301683323,0.5006482869820925,1.1119521646540032,0.5021362932981114,-0.34636196742768866,0,0.7164009075692329,0.47500179654192903,0.05059474490977717,1.9792276165764333,-0.46801893035507475,-0.4092809428615709,-0.9829902363479028,1,1.3407290201818147
1,-0.9397066123784107,-0.05856588214721927,-0.5192643425400141,-0.47501496341310145,0.3197478366876378,0,-1.0200303687158772,0.47500179654192903,0.8760250592899772,-0.23738929608172002,-0.6673984243202681,-0.9557240582369829,-0.7418096515366899,0,-0.023700484814317423
0,0.5868423610674597,0.5438680446921704,0.6195384522919146,-0.7808802080030378,1.1836877705403266,0,1.6574318007514361,-0.41181602664020217,-1.0269152400446404,0.3334412758674944,0.8311624942474072,-0.21993963832461083,-0.3618465126710565,1,1.022098697065913
1,0.996011004180173,-0.10435600799063544,0.39497459150770164,-0.369953295762449,0.27589773488340325,0,-0.30184082924601974,0.47500179654192903,-0.9091763262121793,-0.8704604327723681,-1.7254252707463584,-0.1453431433265755,0.18934018727486754,0,-0.39924601502224794
0,0.9250149456801445,-0.3973329042223556,0.5737046789129552,0.26315185233039434,0.5281838909250074,0,0.06448858982418074,0.47500179654192903,0.7282946077361927,1.416136785621792,1.243822474283982,-1.2364383711320233,-1.4021231999532562,1,1.2864803093493802
1,-1.5137342891215801,-1.0241133189004008,-1.952240023203833,-0.6100201098660684,-1.7882460970690583,1,-0.9220713134105829,1.8052285313151257,0.8751341755852142,-0.09824999411727188,1.5607793888598633,1.8404813554685524,1.4381579436550909,0,-1.5073915765090948
0,0.10304070677423202,1.3747661935297548,0.5838221630155196,-0.32638757933388696,0.3952576530853208,0,1.6529063982920633,-1.2986338498223333,-1.0006475868425873,0.8285078904108794,0.6511158509781126,-2.4761944221944527,-2.1613712315176508,0,2.4923599970798445
0,-0.139023500725078,-0.42748420436291296,0.5526427607491861,1.5451544881742632,0.592416101736688,0,0.45136495001054416,-1.2986338498223333,-0.3872234752930489,0.3083774139425573,0.7670185208940835,-0.1276505940074242,-0.2825762499587149,1,0.4022109001130615
0,1.3817316105914028,0.7594743730058853,1.5444814437724899,0.45810356401946933,1.2415063511555535,0,1.0267060523985707,-1.2986338498223333,0.45345218062447895,-1.7454438649276365,0.7897364772937965,0.08865071432274761,0.8731517063871099,1,-0.2611181379669396
1,0.2813433625413795,-1.3906564236625565,-0.4174915438093459,-0.6552968860295251,0.5678958939864621,0,-1.169051408108032,1.8052285313151257,0.6502031068733756,1.0995806006127398,0.38499188125007705,2.0762049357630383,1.0055160678184571,1,-1.2845146413032738
1,-0.4025670193871125,-1.3615286268955842,-1.2238246373166666,-0.4220492994470635,-1.052714112495347,1,-1.5474477172368908,-0.41181602664020217,0.9068023391842147,-1.135737481031424,-0.8823151989507528,0.5518460706798402,0.9426037683874591,0,-1.4743860763129382
